titulo,año_titulo,nombre_autor,apellido_autor,nombre_autor1,apellido_autor1,nombre_autor2,apellido_autor2,isbn,estante,editorial,año_edicion,volumen,claveIngreso,colección,edicion,adquisicion,numClasificacion,materias
Manual de Maquinaria de Construcción 2ª edición (en español),1581,Díaz del Ríoy Manuel,a,,,,,5.24E+64,N/A,McGRAW HILL,1650,345,1A,345,345,B,400,
Terapia Familiar y de Pareja,1579,Roizblatty A.,a,,,,,5.24E+59,N/A,desconocido,1649,346,1B,346,346,D,500,
Sueño: diagnóstico  y tratamiento,1578,Abdaloffy W.,a,,,,,5.24E+54,N/A,desconocido,1648,347,2C,347,347,A,600,
Avances en psicoterapia y cambio psíquico ,1577,Riquelmey R.  Áhumalay E.,a,,,,,5.24E+54,N/A,desconocido ,1647,348,3D,348,348,C,700,
Psiquiatría y Psicologia de la Infancia y Adolescencia,1576,Grauy A y Meneghelloy J.,a,,,,,5.24E+54,N/A,desconocido,1646,349,4E,349,349,E,800,
Depresión guia y terapeutica,1575,Retamaly P.,a,,,,,5.24E+54,N/A,desconocido,1645,350,1A,350,350,B,900,
Salud Familiar. Un modelo de Atención Integral en la Atención Primaria,1573,Hidalgo C.G. y Carrasco E.,a,,,,,5.24E+54,N/A,Desconocido,1644,351,1B,351,351,D,100,
Tecnicas de Psicoterapias Dinamicas,1572,Florenzanoy R.,a,,,,,5.24E+54,N/A,desconocido,1643,352,2C,352,352,A,200,
Trastornos Bipolares,1571,Correa E.y Silva H.y Risco L.,a,,,,,5.24E+54,N/A,desconocido,1642,353,3D,353,353,C,300,
Fundamentos de Psiquiatría Clínica,1570,Valdivieso F. ,a,,,,,5.24E+54,N/A,desconocido,1641,354,4E,354,354,E,400,
Psiquiatría Clínica ,1569,Heerleiny E.,a,,,,,5.24E+54,N/A,DESCONOCIDO,1640,355,1A,355,355,B,500,
Recomendaciones terapéuticas en los trastornos mentales,1567,Solery J  Perey A. ,a,,,,,5.24E+54,N/A,desconocido,1639,356,1B,356,356,D,600,
Sinopsis de la Psiquiatría ,1566,Sadocky B. Sadock V.,a,,,,,5.24E+54,N/A,desconocido,1638,357,2C,357,357,A,700,
Advances in Food Dehydration ,1565,Cristina Ratti (editor),a,,,,,5.24E+64,N/A,CRC Press,1637,358,3D,358,358,C,800,
Food Physics: Physical Properties - Measurement and Applications,1564,Figuray Ludger O.y Teixeiray Arthur A. ,a,,,,,5.24E+84,N/A,Springer,1636,359,4E,359,359,E,900,
Psicopatología de la Mujer,1563,Eduardo Correa y Enrique Jadresic,a,,,,,5.24E+34,N/A,Mediterráneo,1635,360,1A,360,360,B,100,
PSIQUIATRÍA CLÍNICA EN LA UNIDAD DE CORTA ESTADIA,1561,Mario Vidal C.,a,,,,,5.24E+74,N/A,Serie Roja,1634,361,1B,361,361,D,200,
LA ESQUIZOFRENIA CLÁSICA,1560,César Ojeda,a,,,,,5.24E+54,N/A,C&C Ediciones,1633,362,2C,362,362,A,300,
TEXTBOOK OF PSYCHOPHARMACOLOGY,1559,Alan Schatzbergy Charles Nemeroff,a,,,,,5.24E+64,N/A,The American Psychiatric Publishing,1632,363,3D,363,363,C,400,
Estuaries: A Physical Introduction,1558,Keith R. Dyer ,a,,,,,5.24E+44,N/A,Wiley,1631,364,4E,364,364,E,500,
Ocean Circulation,1557,Open University,a,,,,,5.24E+44,N/A,Butterworth-Heinemann,1630,365,1A,365,365,B,600,
Introduction to Physical Oceanography,1555,John A. Knauss,a,,,,,5.24E+49,N/A,Waveland Pr Inc,1629,366,1B,366,366,D,700,
Sin novedad en el frente,1554,Erich María Remarque,a,,,,,5.24E+64,N/A,Porrúa,1628,367,2C,367,367,A,800,
Modern Methods of Organic Synthesis,1553,William Carruthers and Iain Coldham,a,,,,,5.24E+84,N/A,Canbridge University Press,1627,368,3D,368,368,C,900,
Literatura de Viajes. El Viejo Mundo y el Nuevo.,1552,García Castañeday Salvador (coord.) ,a,,,,,5.24E+64,N/A,Castalia-Ohio State University.,1626,369,4E,369,369,E,100,
Geografías mágicas. Viajeros españoles del siglo XIX por países exóticos (1800-1913). ,1551,Litvaky Lily ,a,,,,,5.24E+64,N/A,Michigan University Microfilms International.,1625,370,1A,370,370,B,200,
Diccionario Ilustrado Latín-Español-Latín,1549,Ediciones Vox,a,,,,,5.24E+49,N/A,Vox (Bibliográfica),1624,371,1B,371,371,D,300,
Metodología de la investigación,1548,Elia Pineda y Eva de Alvarado,a,,,,,5.24E+84,N/A,Organización Panamericana de la salud,1623,372,2C,372,372,A,400,
The Creative City: A Toolkit for Urban Innovators ,1547, Charles Landry,a,,,,,5.24E+54,N/A,Demos,1622,373,3D,373,373,C,500,
La Comunicación de la Ciencia en Chile,1546,Sergio Prenafeta Jenkin,a,,,,,5.24E+84,N/A,CONICYT Menssage,1621,374,4E,374,374,E,600,
Selleccionadas muestra off de dramaturgia,1545,Carreray X.  Figueroay C.,a,,,,,5.24E+64,N/A,Ediciones del Temple,1620,375,1A,375,375,B,700,
La palabra comprometida Tomo II,1543,Ictus,a,,,,,5.24E+64,N/A,Don Bosco,1619,376,1B,376,376,D,800,
La palabra comprometida Tomo I,1542,Ictus,a,,,,,5.24E+64,N/A,Don Bosco,1618,377,2C,377,377,A,900,
Antología crítica de la dramaturgia anarquista en Chile,1541,Pereira P.y Sergio,a,,,,,5.24E+64,N/A,U.de Santiago,1617,378,3D,378,378,C,100,
Teatro chileno,1540,Benaventey David,a,,,,,5.24E+64,N/A,Chileamérica CESOC,1616,379,4E,379,379,E,200,
Antología Subjetiva,1539,Díazy Jorge,a,,,,,5.24E+64,N/A,Red Internacional del Libro,1615,380,1A,380,380,B,300,
Teatro y dictadura,1537,Andradey Elba  Fuentesy Walter.,a,,,,,5.24E+64,N/A,Ediciones documentos,1614,381,1B,381,381,D,400,
Salón de belleza,1536,Mario Bellatin,a,,,,,5.24E+49,N/A,Tusquets,1613,382,2C,382,382,A,500,
Ciudadanías del miedo,1535,Susana Rotker,a,,,,,5.24E+69,N/A,Editorial Nueva Sociedad,1612,383,3D,383,383,C,600,
Espacio urbano violencia y comunicación en América Latina ,1534,Mabel Moraña(ed),a,,,,,5.24E+64,N/A,Pittsburg.PA:Instituto Internacional de Literatura Iberoamericana,1611,384,4E,384,384,E,700,
 1983. Catalogue of the living BIVALVIA of the eastern Pacific Ocean: Bering Strait to C,1533,BernardyF.R.,a,,,,,5.24E+44,N/A,Can. Spec. Publ. Fish. Aquat. Sci.,1610,385,1A,385,385,B,800,
Epidemiología y Bioestadística: secretos,1531,Nordnessy Robert,a,,,,,5.24E+99,N/A,Elsevier España S.A.,1609,386,1B,386,386,D,900,
Principios d Microeconomía,1530,Casey Karl E. y Fairy Ray C.,a,,,,,5.24E+64,N/A,Pearson educación,1608,387,2C,387,387,A,100,
 The provision of oxygen to developing eggs by female shore crabs (Carcinus maenas) ,1529,wheatly M.G.,a,,,,,5.24E+49,N/A,journal of the marine biological association of the UK,1607,388,3D,388,388,C,200,
Looking at Cities,1528,Allan Jacobs,a,,,,,5.24E+89,N/A,Cambridge MA: Harvard University Press,1606,389,4E,389,389,E,300,
La Regulacin Economica de los Servicios Publicos (2 Ejemplares),1527,Miguel Angel Lasheras,a,,,,,5.24E+64,N/A,Ariel,1605,390,1A,390,390,B,400,
La cultura: todo lo que hay que saber,1525,Dietrich Schwanitz,a,,,,,5.24E+64,N/A,Taurus ediciones,1604,391,1B,391,391,D,500,
El Capitalismo y la moderna teoría social,1524,Giddensy Anthony,a,,,,,5.24E+69,N/A,Labor (Barcelona),1603,392,2C,392,392,A,600,
Actividades de la vida diaria,1523,Moruro Mirales Pedro y romero Dulce maria,a,,,,,5.24E+64,N/A,Masson,1602,393,3D,393,393,C,700,
Actividades de la vida diaria,1522,Moruro Mirales Pedro y romero Dulce maria,a,,,,,5.24E+64,N/A,Masson,1601,394,4E,394,394,E,800,
Dramaturgia chilena contemporánea. 7 autores.,1521,Grifferoy Ramón. Editor y prologuista,a,,,,,5.24E+84,N/A,Universidad Arcis,1600,395,1A,395,395,B,900,
Arte poética. Seis conferencias,1519,Borgesy Jorge Luis,a,,,,,5.24E+64,N/A,Crítica,1599,396,1B,396,396,D,100,
Ulises o no seguida de Frontera,1518,Escobar Vilay Benito,a,,,,,5.24E+64,N/A,ciertopez,1598,397,2C,397,397,A,200,
Miradas lastimeras no quiero,1517,Radrigány Flavia,a,,,,,5.24E+64,N/A,ciertopez,1597,398,3D,398,398,C,300,
INTERRELACIONES NANDA NIC Y NOC. Diagósticos enfermeros resultados e intervenciones ,1516, Johnsony M. / Bulecheky G.M. / Butchery H. / Maasy M.L. / McCloskey Dochtermany J. / Moorh,a,,,,,5.24E+99,N/A,elsevier,1596,399,4E,399,399,E,400,
A TALE OF TWO CITIES (15 COPIAS),1515,CHARLES DICKENS,a,,,,,5.24E+64,N/A,VICENS VIVES,1595,400,1A,400,400,B,500,
GREAT EXPECTATIONS ,1513,CHARLES DICKENS,a,,,,,5.24E+64,N/A,Macmillan,1594,401,1B,401,401,D,600,
MIDDLE MARCH (15 COPIAS),1512,GEORGE ELIOT,a,,,,,5.24E+89,N/A,Macmillan,1593,402,2C,402,402,A,700,
The Great Gatsby (15 copias),1511,F. Scott Fitzgerald ,a,,,,,5.24E+64,N/A,Macmillan,1592,403,3D,403,403,C,800,
EMMA (15 COPIAS),1510,JANE AUSTEN,a,,,,,5.24E+64,N/A,Macmillan,1591,404,4E,404,404,E,900,
WUTHERING HEIGHTS (15 COPIAS),1509,EMILY BRONTEE,a,,,,,5.24E+64,N/A,Macmillan,1590,405,1A,405,405,B,100,
SENSE AND SENSIBILITY (15 COPIAS),1507,JANE AUSTEN,a,,,,,5.24E+64,N/A,Macmillan,1589,406,1B,406,406,D,200,
MOBY DICK (15 COPIAS),1506,HERMAN MELVILLE ,a,,,,,5.24E+89,N/A,Macmillan,1588,407,2C,407,407,A,300,
The Great Gatsby ,1505,F. Scott Fitzgerald ,a,,,,,5.24E+64,N/A,Macmillan,1587,408,3D,408,408,C,400,
Teaching Reading Skills in a Foreign Language,1504,Christine Nuttall,a,,,,,5.24E+64,N/A,Macmillan,1586,409,4E,409,409,E,500,
Laughing Matters,1503,Peter Medgyes ,a,,,,,5.24E+64,N/A,Cambridge University Press,1585,410,1A,410,410,B,600,
Motivational Strategies in the language classroom ,1501,Zoltan Dörnyei,a,,,,,5.24E+64,N/A,Cambridge University Press,1584,411,1B,411,411,D,700,
Communicative Language Teaching ,1500,William Littlewood,a,,,,,5.24E+64,N/A,Cambridge University Press,1583,412,2C,412,412,A,800,
Organic Synthesis: The Disconnection Approach,1499,Stuart Warren y  Paul Wyatt,a,,,,,5.24E+44,N/A,John Wiley and Sons,1582,413,3D,413,413,C,900,
Acanthamoeba: Biology and Pathogenesis ,1498,Naveed Khan University of Nottinghamy UK,a,,,,,5.24E+84,N/A,Caister Academic Press,1581,414,4E,414,414,E,100,
DIRECCION DE EMPRESAS INTERNACIONALES,1497,PLA,a,,,,,5.24E+49,N/A,PRENTICE HALL,1580,415,1A,415,415,B,200,
Direccion de Marketing,1495,Kotler,a,,,,,5.24E+49,N/A,Pearson,1579,416,1B,416,416,D,300,
Applied Biopharmaceutics and Pharmacokinetics,1494,Leon ShargelyAndrew B.C. Yu ,a,,,,,5.24E+44,N/A,McGraw-Hill/Appleton & Lange,1578,417,2C,417,417,A,400,
La etica protestante y espíritu del capitalsmo,1493,Webery Max,a,,,,,5.24E+49,N/A,Fondo de Cultura Económica,1577,418,3D,418,418,C,500,
TRATADO LATINOAMERICANO DE SOCIOLOGIA DEL TRABAJO,1492,Enrique De la Garza Toledo,a,,,,,5.24E+49,N/A,Fondo de Cultura Económica,1576,419,4E,419,419,E,600,
International Trade and Agriculture,1491,Won W. Koo  P. Lynn Kennedy,a,,,,,5.24E+64,N/A,Blackwell,1575,420,1A,420,420,B,700,
Veterinary Clinical Pathology. An integrated undergraduate course,1489,Ceron J y col.,a,,,,,5235252352,N/A,informacion en:  http://www.clinpathcd.com/,1574,421,1B,421,421,D,800,
NIIF vs PCGA en Chile,1488,Valenzuela Acevedoy Marcelo,a,,,,,5.24E+84,N/A,Edimetri Ril Editores,1573,422,2C,422,422,A,900,
Planes de cuidados y documentación clínica en enfermería,1487,Carpenito-Moyet,a,,,,,5.24E+49,N/A,McGrawHill Interamericana,1572,423,3D,423,423,C,100,
Clasificacion de intervenciones de Enfermeria,1486,Mc Closkey - Bulechek,a,,,,,5.24E+49,N/A,Elsevier,1571,424,4E,424,424,E,200,
Clasificacion de resultados de Enfermeria,1485,Moorhead y Johnson,a,,,,,5.24E+49,N/A,Elsevier,1570,425,1A,425,425,B,300,
Diagnosticos enfermeros resulatados e intervenciones: Interrelacin Nanda ,1483,Johnson,a,,,,,5.24E+49,N/A,Harcourt,1569,426,1B,426,426,D,400,
 Modelos y teorías en Enfermería  ,1482,Marriner - Raile,a,,,,,5.24E+49,N/A,Elsevier Mosby,1568,427,2C,427,427,A,500,
Fundamentos de Enfermería. Conceptos proceso y práctica,1481,Bárbara Kozier,a,,,,,5.24E+64,N/A,Mc Grawhill. Interamericana,1567,428,3D,428,428,C,600,
Data analysis methods in physical oceanography,1480,Emeryy W. J.y & R. E. Thomson,a,,,,,5.24E+44,N/A,Elsevier,1566,429,4E,429,429,E,700,
Liderazgo: Teoria Aplicación y Desarrollo de Habilidades,1479,Robert N. Lussier y Christopher Achua,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 10),1565,430,1A,430,430,B,800,
Administración moderna de personal,1477,Joaquín Rodriguez Valencia,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 25),1564,431,1B,431,431,D,900,
Administración de producción y operaciones,1476,NormanGaither/Greg Frazier,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 22),1563,432,2C,432,432,A,100,
Teoría y diseño organizacional,1475,Richard L. Daft,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 12),1562,433,3D,433,433,C,200,
Administración: Un enfoque basado en competencias,1474,Don Hellriegely Susam Jackson et al.,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag 4),1561,434,4E,434,434,E,300,
Introducción a la administración con un enfoque de sistemas,1473,Joaquín Rodriguez Valencia,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag 9),1560,435,1A,435,435,B,400,
Introduccion a la administracion,1471,Richard L. Daft,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 13),1559,436,1B,436,436,D,500,
Dirección moderna de organizaciones,1470,Joaquín Rodriguez Valencia,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag 5),1558,437,2C,437,437,A,600,
Gestión y conocimiento en organizaciones que aprenden,1469,Eduardo Soto/ Alons Sauquet ,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 16),1557,438,3D,438,438,C,700,
Administración y control de calidad,1468,James R.Evans/William M. Lindsay,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 22),1556,439,4E,439,439,E,800,
Administración de operaciones: Bienes Servicios y Cadenas de valor,1467,David Collier/ James Evans,a,,,,,5.24E+64,N/A,CENGAGE Learning (Pag. 23),1555,440,1A,440,440,B,900,
State of the World’s Cities Report 2006/7 ,1465,Naciones Unidas -Habitat,a,,,,,5.24E+64,N/A,Naciones Unidas,1554,441,1B,441,441,D,100,
Environmental Psychology: Principles and Practice ,1464,Robert Gifford ,a,,,,,5.24E+84,N/A,Optimal Books,1553,442,2C,442,442,A,200,
la Nona,1463,Cossay Roberto,a,,,,,5.24E+64,N/A,ed.del Corregidor,1552,443,3D,443,443,C,300,
Obra dramática,1462,Discepoloy Armando,a,,,,,5.24E+64,N/A,Galerna,1551,444,4E,444,444,E,400,
Teatro Latinoamericano de los 70,1461,Pelletieriy Osvaldo,a,,,,,5.24E+64,N/A,Ed. del Corregidor,1550,445,1A,445,445,B,500,
Armando Discepolo Obra dramática II,1459,Pelletieriy Osvaldo,a,,,,,5.24E+49,N/A,Eudeba,1549,446,1B,446,446,D,600,
Armando Discepolo Obra dramática,1458,Pelletieriy Osvaldo,a,,,,,5.24E+49,N/A,Eudeba,1548,447,2C,447,447,A,700,
Introduccion a la ingeniería,1457,Pablo Grech,a,,,,,5.24E+64,N/A,Prentice Hall,1547,448,3D,448,448,C,800,
The Microsporidia and Microsporidiosis,1456,Murray Wittner,a,,,,,5.24E+84,N/A,ASM Press,1546,449,4E,449,449,E,900,
Practical Guide to Diagnostic Parasitology (solicitar 3 ejemplares),1455,Lynne Shore García,a,,,,,5.24E+84,N/A,ASM Press,1545,450,1A,450,450,B,100,
Diagnostic Medical Parasitology (solilcitar 3 ejemplares),1453,Lynne Shore Garcíay LGS & Associates,a,,,,,5.24E+84,N/A,ASM Press,1544,451,1B,451,451,D,200,
Crítica del conocimiento litarario,1452,Bobesy Carmen,a,,,,,5.24E+84,N/A,Arco,1543,452,2C,452,452,A,300,
Teatro y poder en la época de Carlos II. Fiestas en torno a...,1451,Farréy Judith (ed.),a,,,,,5.24E+84,N/A, Iberoamericana,1542,453,3D,453,453,C,400,
Reensamblar lo social,1450,Latoury Bruno,a,,,,,5.24E+84,N/A,manantial - argentina,1541,454,4E,454,454,E,500,
Administración Financiera Internacional,1449,Cheol S. Eun y Bruce G. Resnick,a,,,,,5.24E+99,N/A,McGraw-Hill Interamericana,1540,455,1A,455,455,B,600,
LA ESPERANZA DE PANDORA,1447,Latoury Bruno,a,,,,,5.24E+49,N/A,GEDISA,1539,456,1B,456,456,D,700,
NUNCA FUIMOS MODERNOS. ENSAYOS DE ANTROPOLOGíA SIMÉTRICA,1446,Latoury Bruno,a,,,,,5.24E+64,N/A,Siglo XXI,1538,457,2C,457,457,A,800,
Designing Economic Mechanisms,1445,Leonid Huwicz y Stanley Reiter,a,,,,,5.24E+64,N/A,Cambridgr University Press,1537,458,3D,458,458,C,900,
Antropología de la imagen,1444,Hans Belting,a,,,,,5.24E+64,N/A,Katz editores,1536,459,4E,459,459,E,100,
Obras reunidas,1443,Alfonso Alcalde,a,,,,,5.24E+64,N/A,Altazor (?),1535,460,1A,460,460,B,200,
Digital image Processing,1441,R.C. Gonzalez  R.E. Woods,a,,,,,5.24E+44,N/A,Prentice Hall,1534,461,1B,461,461,D,300,
Teatro en Chile,1440,Luis Pradenas,a,,,,,5.24E+64,N/A,LOM,1533,462,2C,462,462,A,400,
TÉCNICAS ARGUMENTATIVAS,1439,Mónica Pérez y Olly Vega,a,,,,,5.24E+64,N/A,Universidad Católica,1532,463,3D,463,463,C,500,
Microeconomics,1438,Jeffrey Perloff,a,,,,,5.24E+44,N/A,Addison Wesley,1531,464,4E,464,464,E,600,
La Consultoría de Empresas,1437,Romero Samuel,a,,,,,5.24E+49,N/A,Limusa,1530,465,1A,465,465,B,700,
Manual de Instalaciones a Gas,1435,Lesur Luis,a,,,,,5.24E+49,N/A,Trillas,1529,466,1B,466,466,D,800,
Las especies arbóreas de los bosques templados de Chile y Argentina.Autoecología de,1434,Claudio Donoso,a,,,,,5.24E+84,N/A,Marisa Cuneo Ediciones,1528,467,2C,467,467,A,900,
Antropología del parentesco y de la familia ,1433,Parkiny Robert / Stoney Linda,a,,,,,5.24E+64,N/A,Editorial Universitaria Ramón Areces Madrid,1527,468,3D,468,468,C,100,
Urban design street and square,1432,Cliff Moughtin,a,,,,,5.24E+59,N/A,Architectural press,1526,469,4E,469,469,E,200,
remaking the urban waterfront,1431,Urban land Institute,a,,,,,5.24E+64,N/A,Urban Land Institute,1525,470,1A,470,470,B,300,
Manual de Diagnósticos de Enfermería (edición 11 o 10),1429,Carpenito Lynda ,a,,,,,5.24E+64,N/A,Mc Graww-Hill,1524,471,1B,471,471,D,400,
Atlas de Anatomía Humana,1428,Nettery F.H.,a,,,,,5.24E+44,N/A,ELSEVIER-MASSON,1523,472,2C,472,472,A,500,
AUTOAPRENDIZAJE DE LA ELECTROCARDIOGRAFÍA,1427,FASCE HENRYy EDUARDO,a,,,,,52352,N/A,ED. UNIVERSIDAD DE CONCEPCIÓN,1522,473,3D,473,473,C,600,
MANUAL DE URGENCIAS MÉDICAS,1426,CUBILLOSy LORENZO,a,,,,,5.24E+64,N/A,MEDITERRÁNEO,1521,474,4E,474,474,E,700,
Vigilar y Castigar,1425,Michel Foucault,a,,,,,5.24E+64,N/A,Siglo XXI,1520,475,1A,475,475,B,800,
Historia de la Sexualidad.  Tres Volumenes,1423,Michel Foucault,a,,,,,5.24E+44,N/A,Siglo XXI,1519,476,1B,476,476,D,900,
Auditoría tributaria,1422,Vicente Salort S.,a,,,,,5.24E+84,N/A,Edimetri,1518,477,2C,477,477,A,100,
Recursos Humanos Champions,1421,Ulrichy Dave,a,,,,,5.24E+64,N/A,Granica; Buenos Aires,1517,478,3D,478,478,C,200,
Gestión por Competencias.  Un modelo estratégico para la dirección de Recursos Humanos,1420,Javier Fernández López,a,,,,,5.24E+64,N/A,F.T. Prentice Hall - Madrid,1516,479,4E,479,479,E,300,
La Gestión Estratégica de los Recursos Humanos,1419,Valle Cabreray Ramón J. (coord),a,,,,,5.24E+64,N/A,Pearson - Prentice Hall; Madrid,1515,480,1A,480,480,B,400,
Dirección Estratégica de Recursos Humanos: Gestión por Competencias,1417,Allesy Martha A. ,a,,,,,5.24E+84,N/A,Granica Buenos Aires,1514,481,1B,481,481,D,500,
Desarrollo del Talento Humano: Basado en Competencias,1416,Allesy Martha A.,a,,,,,5.24E+94,N/A,Granica Buenos Aires,1513,482,2C,482,482,A,600,
Administración de Recursos Humanos,1415,R. Wayne Mondy y Robert M. Noe,a,,,,,5.24E+94,N/A,Mexico D.F. Pearson Educación Prentice Hall,1512,483,3D,483,483,C,700,
Integrated food safety and veterinary public health,1414,s. Buncic,a,,,,,5.24E+89,N/A,CABI,1511,484,4E,484,484,E,800,
Historia breve de la poética (Versión Luis Alburquerque),1413,Dolezely Lubomir,a,,,,,5.24E+64,N/A,Síntesis,1510,485,1A,485,485,B,900,
Como se comenta una obra de teatro.,1411,García Barrientosy José,a,,,,,5.24E+64,N/A,Síntesis,1509,486,1B,486,486,D,100,
El teatro hispanoamericano,1410,Gálvez Aceroy Marina,a,,,,,5.24E+49,N/A,Madrid: Taurus,1508,487,2C,487,487,A,200,
Teatro Chileno Contemporáneo,1409,Antología,a,,,,,5.24E+49,N/A,Madrid: Fondo de Cultura Económica,1507,488,3D,488,488,C,300,
Hacer ciudad la construcción de las metrópolis,1408,Cátedra Arq. Enrique García Espil,a,,,,,5.24E+64,N/A,Nobuko,1506,489,4E,489,489,E,400,
FUNDAMENTOS DE LAS TECNICAS DE EVALUACION MUSCULO ESQUELETICAS,1407,PALMERy M. LYNN,a,,,,,5.24E+84,N/A,PAIDOTRIBO,1505,490,1A,490,490,B,500,
RPG. PRINCIPIOS DE REEDUCACION POSTURAL GLOBAL,1405,SOUCHARDy PHILLIPPE E.,a,,,,,5.24E+84,N/A,PAIDOTRIBO,1504,491,1B,491,491,D,600,
MANUAL DE CONSULTORÍA,1404,TOM LAMBERT,a,,,,,5.24E+49,N/A,GESTION 2000,1503,492,2C,492,492,A,700,
Fundamentos de los Computadores,1403,Pedro de Miguel Anasagasti,a,,,,,5.24E+49,N/A,PARANINFO,1502,493,3D,493,493,C,800,
Organización y Arquitectura de Computadores,1402,William Stallings,a,,,,,5.24E+49,N/A,Prentice Hall,1501,494,4E,494,494,E,900,
Robots y Sistemas Sensoriales,1401,F torres  S.T. Puente y otros,a,,,,,5.24E+49,N/A,Pearson,1500,495,1A,495,495,B,100,
Teleoperación y Telerobótica,1399,Jesús M. Gómez de Gabriel,a,,,,,5.24E+49,N/A,Pearson,1499,496,1B,496,496,D,200,
Redes Neuronales Automática y Robótica ,1398,Edgar Nelson Sánchez Camperos,a,,,,,5.24E+49,N/A,Pearson,1498,497,2C,497,497,A,300,
Robótica,1397,John J. Craig,a,,,,,5.24E+64,N/A,Pearson,1497,498,3D,498,498,C,400,
Robótica Control Detección Visión e Inteligencia,1396,Fuy K.S.y R.C. Gonzalez y C.S.G. Lee,a,,,,,5.24E+49,N/A,McGraw Hill,1496,499,4E,499,499,E,500,
Fundamentos de Robótica,1395,Barrientos A.y L.F. Peñiny C. Balaguer y R. Aracil,a,,,,,5.24E+44,N/A,Mc GRaw Hill,1495,500,1A,500,500,B,600,
Modeling and Control of Robot Manipulators,1393,Sciaviccoy L.y B. Siciliano,a,,,,,5.24E+29,N/A,Mc Graw Hill,1494,501,1B,501,501,D,700,
Enfermería oncológica,1392,Ottoy S.E.,a,,,,,5.24E+54,N/A,ELSEVIER,1493,502,2C,502,502,A,800,
Transiciones de la Familia (REVISAR EDICIONES POSTERIORES A 2000),1391,Falicov  C.,a,,,,,5.24E+24,N/A,AMORRORTU,1492,503,3D,503,503,C,900,
Manual de Nefrología Clínica,1390,Botellay J,a,,,,,5.24E+54,N/A,ELSEVIER-MASSON,1491,504,4E,504,504,E,100,
Manual de Diálisis,1389,Daugirdas John,a,,,,,5.24E+54,N/A,ELSEVIER-MASSON ,1490,505,1A,505,505,B,200,
500 cuestiones que plantea el cuidado del enfermo renal,1387,Andreuy L,a,,,,,5.24E+54,N/A,ELSEVIER-MASSON,1489,506,1B,506,506,D,300,
Manual de nefrología clínica,1386,Lorenzoy V,a,,,,,5.24E+54,N/A,ELSEVIER,1488,507,2C,507,507,A,400,
Fisica Moderna,1385,R.Serway /C.J.Moses/C:A Moyer,a,,,,,5.24E+64,N/A,Thomson Learning Publisher,1487,508,3D,508,508,C,500,
Epidemiología Clínica: Aspectos Fundamentales,1384,Fletcher R.H.   Fletcher S.W.  Wagner E.H.,a,,,,,5.24E+54,N/A,Masson,1486,509,4E,509,509,E,600,
Antropología,1383,EMBER Caroly Ember M.y Peregrine P.,a,,,,,5.24E+64,N/A,Pearson -Prentice Hall,1485,510,1A,510,510,B,700,
Arqueología teorías métodos y pract,1381,RENFREW Coliny BAHN Paul,a,,,,,5.24E+64,N/A,AKAL,1484,511,1B,511,511,D,800,
Ambiente bosques y gestión forestal ,1380,Pablo Camus Gayan,a,,,,,5.24E+64,N/A,LOM,1483,512,2C,512,512,A,900,
Cómo se hace la historia oral,1379,FOLGUERA Pilar,a,,,,,5.24E+64,N/A,EUDEMA,1482,513,3D,513,513,C,100,
Historia de los Antiguos Mapuches del,1378,Jose BENGOA,a,,,,,5.24E+64,N/A,Catalonia,1481,514,4E,514,514,E,200,
Física general ,1377,Máximoy Antonio y Alvarengay Beatriz,a,,,,,5.24E+64,N/A,Oxford University Press,1480,515,1A,515,515,B,300,
Finanzas Corporativas,1375,Stephen Ross y Westerfiel Randolph,a,,,,,5.24E+49,N/A,McGraw-Hill Interamericana,1479,516,1B,516,516,D,400,
Principios de Finanzas Corporativas,1374,Brealeyy David y Stewart Myers,a,,,,,5.24E+49,N/A,McGraw-Hill Interamericana,1478,517,2C,517,517,A,500,
Oleohidráulica,1373,Serrano Nicolásy Antonio,a,,,,,5.24E+64,N/A,Mc Graw-Hill Profesional,1477,518,3D,518,518,C,600,
Fisica Universitaria tomos I y II,1372,Sears_Zemansky-Yong_Freedman,a,,,,,5.24E+44,N/A,Addison_wesley,1476,519,4E,519,519,E,700,
Clasificacion de Intervenciones de En,1371,Joanne McCloskey Dochterman,a,,,,,5.24E+49,N/A,Elsevier - Mosby,1475,520,1A,520,520,B,800,
Diagnosticos Enfermeros 2003-2004 ,1369,by NANDA,a,,,,,5.24E+49,N/A,Elsevier - Mosby,1474,521,1B,521,521,D,900,
Clasificacion de Resultados de Enferm,1368,Sue Moorhead & Marion Johnson,a,,,,,5.24E+49,N/A,Mosby- Elsevier,1473,522,2C,522,522,A,100,
The urban design handbook Techniques ,1367,Urban Design associates (Ray Gindroz),a,,,,,5.24E+64,N/A,W.W. Norton And Company INC,1472,523,3D,523,523,C,200,
